# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-03-16 13:26:20 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03335500 WABASH RIVER AT LAFAYETTE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03335500
#            TS   parameter     statistic     Description
#         51608       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	51608_00060_00003	51608_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03335500	1923-10-01	1500	A
USGS	03335500	1923-10-02	1500	A
USGS	03335500	1923-10-03	1500	A
USGS	03335500	1923-10-04	1500	A
USGS	03335500	1923-10-05	1500	A
USGS	03335500	1923-10-06	1450	A
USGS	03335500	1923-10-07	1420	A
USGS	03335500	1923-10-08	1420	A
USGS	03335500	1923-10-09	1360	A
USGS	03335500	1923-10-10	1360	A
USGS	03335500	1923-10-11	1360	A
USGS	03335500	1923-10-12	1290	A
USGS	03335500	1923-10-13	1290	A
USGS	03335500	1923-10-14	1290	A
USGS	03335500	1923-10-15	1570	A
USGS	03335500	1923-10-16	1570	A
USGS	03335500	1923-10-17	1570	A
USGS	03335500	1923-10-18	1570	A
USGS	03335500	1923-10-19	3060	A
USGS	03335500	1923-10-20	13100	A
USGS	03335500	1923-10-21	12200	A
USGS	03335500	1923-10-22	9100	A
USGS	03335500	1923-10-23	6900	A
USGS	03335500	1923-10-24	5500	A
USGS	03335500	1923-10-25	4700	A
USGS	03335500	1923-10-26	4140	A
USGS	03335500	1923-10-27	3690	A
USGS	03335500	1923-10-28	2970	A
USGS	03335500	1923-10-29	2970	A
USGS	03335500	1923-10-30	2700	A
USGS	03335500	1923-10-31	3240	A
USGS	03335500	1923-11-01	3960	A
USGS	03335500	1923-11-02	3870	A
USGS	03335500	1923-11-03	3690	A
USGS	03335500	1923-11-04	3240	A
USGS	03335500	1923-11-05	3240	A
USGS	03335500	1923-11-06	2700	A
USGS	03335500	1923-11-07	4140	A
USGS	03335500	1923-11-08	6500	A
USGS	03335500	1923-11-09	5500	A
USGS	03335500	1923-11-10	4600	A
USGS	03335500	1923-11-11	4140	A
USGS	03335500	1923-11-12	3420	A
USGS	03335500	1923-11-13	3060	A
USGS	03335500	1923-11-14	3060	A
USGS	03335500	1923-11-15	3060	A
USGS	03335500	1923-11-16	3060	A
USGS	03335500	1923-11-17	2880	A
USGS	03335500	1923-11-18	2700	A
USGS	03335500	1923-11-19	2610	A
USGS	03335500	1923-11-20	2340	A
USGS	03335500	1923-11-21	2970	A
USGS	03335500	1923-11-22	3240	A
USGS	03335500	1923-11-23	3420	A
USGS	03335500	1923-11-24	2700	A
USGS	03335500	1923-11-25	2340	A
USGS	03335500	1923-11-26	2260	A
USGS	03335500	1923-11-27	2340	A
USGS	03335500	1923-11-28	2700	A
USGS	03335500	1923-11-29	2520	A
USGS	03335500	1923-11-30	2260	A
USGS	03335500	1923-12-01	2170	A
USGS	03335500	1923-12-02	2700	A
USGS	03335500	1923-12-03	3330	A
USGS	03335500	1923-12-04	3960	A
USGS	03335500	1923-12-05	7900	A
USGS	03335500	1923-12-06	27200	A
USGS	03335500	1923-12-07	31400	A
USGS	03335500	1923-12-08	28900	A
USGS	03335500	1923-12-09	20500	A
USGS	03335500	1923-12-10	15000	A
USGS	03335500	1923-12-11	13500	A
USGS	03335500	1923-12-12	13900	A
USGS	03335500	1923-12-13	16100	A
USGS	03335500	1923-12-14	31600	A
USGS	03335500	1923-12-15	38400	A
USGS	03335500	1923-12-16	35900	A
USGS	03335500	1923-12-17	27900	A
USGS	03335500	1923-12-18	19000	A
USGS	03335500	1923-12-19	14600	A
USGS	03335500	1923-12-20	12600	A
USGS	03335500	1923-12-21	17500	A
USGS	03335500	1923-12-22	21600	A
USGS	03335500	1923-12-23	27400	A
USGS	03335500	1923-12-24	30200	A
USGS	03335500	1923-12-25	30200	A
USGS	03335500	1923-12-26	25200	A
USGS	03335500	1923-12-27	20300	A
USGS	03335500	1923-12-28	17200	A
USGS	03335500	1923-12-29	16800	A
USGS	03335500	1923-12-30	15700	A
USGS	03335500	1923-12-31	12600	A
USGS	03335500	1924-01-01	11100	A
USGS	03335500	1924-01-02	9100	A
USGS	03335500	1924-01-03	8100	A
USGS	03335500	1924-01-04	6700	A
USGS	03335500	1924-01-05	5900	A
USGS	03335500	1924-01-06	5000	A
USGS	03335500	1924-01-07	5000	A
USGS	03335500	1924-01-08	5000	A
USGS	03335500	1924-01-09	5500	A
USGS	03335500	1924-01-10	6000	A
USGS	03335500	1924-01-11	10900	A
USGS	03335500	1924-01-12	21000	A
